year,zone_id,province_id,province_name,region,zone_number,party_name,votes,vote_pct,rank,total_votes
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,พลังไทสร้างชาติ,106,0.08,33,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ไทยรักษาชาติ,0,0.00,34,130062
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,พลังประชารัฐ,23246,28.61,1,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,อนาคตใหม่,18091,22.26,2,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,เพื่อไทย,15904,19.57,3,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ประชาธิปัตย์,14348,17.66,4,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,เศรษฐกิจใหม่,4522,5.57,5,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,เสรีรวมไทย,1687,2.08,6,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ภูมิใจไทย,806,0.99,7,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,รวมพลังประชาชาติไทย,547,0.67,8,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,พลังท้องถิ่นไท,426,0.52,9,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,รักษ์ผืนป่าประเทศไทย,301,0.37,10,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ประชาชนปฏิรูป,268,0.33,11,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ไทยศรีวิไลย์,223,0.27,12,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ชาติไทยพัฒนา,212,0.26,13,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,เพื่อชาติ,168,0.21,14,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ประชาชาติ,91,0.11,15,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ภราดรภาพ,62,0.08,16,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ประชาภิวัฒน์,54,0.07,17,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ถิ่นกาขาวชาววิไล,36,0.04,18,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,แผ่นดินธรรม,34,0.04,19,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,เพื่อแผ่นดิน,33,0.04,20,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,พลังชาติไทย,27,0.03,21,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,มหาชน,25,0.03,22,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ไทรักธรรม,25,0.03,23,81257
